study_id,species,human_cohort_N_AD,human_cohort_N_control,brain_region,neuropath_staging,snRNAseq_platform,total_microglia_N,microglial_substates,DAM1_markers_confirmed,DAM2_markers_confirmed,TREM2_dependency_assessed,TREM2_dependency_result,trajectory_method,mouse_model_comparison,conservation_across_datasets,Braak_correlation_r,Braak_correlation_p,evidence_tier,notes_for_DAM_DRUG
Mathys_2019_Nature,Human,24,24,Prefrontal cortex (Brodmann area 10),Braak 1-6 + CERAD + amyloid + NIA-Reagan,10x Chromium 3' v2 (NextSeq 500/550; UMI cutoff 200),1920 (955 AD / 965 control),"Mic0 (homeostatic); Mic1 (AD-associated); Mic2 (immune-activated); Mic3 (minor)","APOE (Y); FTL (Y); CD74 (Y); HLA-DRB1 (Y); C1QB (Y) — note: TYROBP not reported; CTSB not reported","SPP1 (Y); TREM2 (in M6/M7 module) — note: CST7/CLEC7A/ITGAX/GPNMB/LPL NOT reported","No KO or variant analysis; TREM2 correlated with pathology module M6/M7",N/A — human only,No trajectory; used SOM gene module correlation,Yes — 28 gene overlap with Keren-Shaul 2017 mouse DAM (p=9.7e-32); unique human genes C1QB/CD14 not in mouse,Yes — Mic1 markers overlapped Olah 2018 aging microglia (32 genes p=1.09e-17; APOE specific to AD not aging),Mic1 significantly enriched in Braak V + high amyloid + cognitive decline (hypergeometric FDR<0.01),FDR<0.01,1,"ROSMAP cohort — same donors as ROSMAP bulk RNA-seq (direct validation link). Marker panel: APOE/FTL/CD74/SPP1 confirmed in human. CLEC7A/ITGAX/CST7/LPL/GPNMB NOT reported. Sex effect: Mic1 significantly enriched in female donors — add sex as mandatory covariate. Code not publicly available (request only) — reproducibility limitation."
KerenShaul_2017_Cell,Mouse (5xFAD),0,0,Whole brain (FACS-sorted),Age (1/3/6/8 months) + TREM2 KO,MARS-seq (FACS-based; full-length 3' capture — higher sensitivity than 10x),8000+ across genotypes,"Homeostatic; DAM-1 (TREM2-independent); DAM-2 (TREM2-dependent)","TYROBP (Y); APOE (Y); FTL (Y); CTSB (Y); B2m (Y); Lyz2 (Y)","CST7 (Y); SPP1 (Y); CLEC7A (Y); ITGAX/CD11c (Y); TREM2-high (Y); GPNMB (Y); LPL (Y); Axl (Y); Cd9 (Y); Ctsl (Y)","Yes — TREM2 KO 5xFAD scRNA-seq performed","DAM-1: forms in TREM2 KO (TREM2-INDEPENDENT confirmed). DAM-2: COMPLETELY BLOCKED in TREM2 KO (TREM2-DEPENDENT confirmed). This is the canonical two-stage model definition.",kNN graph + pseudo-temporal ordering + age-dependent validation,N/A — this IS the mouse reference,Partial — IHC in human AD tissue shows CD11c+/LPL+ cells near plaques; GWAS overlap (TREM2/APOE/TYROBP),Not assessed (mouse study — no staging correlation),N/A,2 (mouse — Tier 2),"CANONICAL REFERENCE for DAM-1/DAM-2 gene lists. CRITICAL CAVEAT: Zhou 2020 shows these mouse DAM-2 markers (CST7/LPL/CLEC7A/ITGAX/GPNMB) are NOT detected in human AD microglia — do NOT use mouse marker panel directly for human annotation. Homeostatic negative markers (P2RY12/TMEM119/CX3CR1/HEXB) confirmed as downregulated in mouse DAM — but Zhou shows these are UPREGULATED in human AD. Neuroprotective framing ('restricting development of AD') relevant to therapeutic window rationale."
Zhou_2020_NatMedicine,Human+Mouse,21 AD (11 CV + 10 R62H),11 control,"DLPFC (Rush/ROSMAP — primary); Parietal (ADRC validation); Occipital (Japan BRI validation)","AD vs. Control diagnosis (no Braak stratification in main text)",10x Chromium 5' (median 1951 UMIs / 1312 genes per nucleus),3986 human + 2833 mouse (7-month),"Human: Micro0-Micro6 (7 clusters); Micro0 = AD-reactive state. NOT named DAM-1/DAM-2 — authors explicitly avoid this mouse terminology for human data.","APOE (Y); CD68 (Y); HLA-DRA/MHC-II (Y) — TYROBP similar in AD and control (not DAM-1-specific in human)","CST7: NOT DETECTED. LPL: NOT DETECTED. GPNMB: NOT DETECTED. CLEC7A: NOT DETECTED. SPP1: DOWNREGULATED in human AD vs. control. CRITICAL: canonical mouse DAM-2 markers absent/reversed in human.","Yes — TREM2 KO mouse (scRNA-seq) + TREM2 R62H human (snRNA-seq) + TREM2 R47H human (NanoString)","Mouse: DAM signature absent in TREM2 KO. Human R62H: AD-reactive signature blunted but NOT absent. Human R47H: IRF8/HLA-DRA/AIF1 markedly decreased. CONCLUSION: TREM2 dependency holds in human but manifests as BLUNTING not BLOCKING — distinct from mouse binary on/off model.",Seurat clustering — no pseudotime/Monocle,Yes — major discordance found: mouse DAM loses P2RY12/TMEM119 (downregulated); human AD KEEPS/UPREGULATES P2RY12/TMEM119/CX3CR1. Human-specific upregulation: IRF8/A2M/CHI3L1 (absent from mouse DAM).,Yes — NanoString validation in Japan BRI (10 AD / 10 control) and ADRC (5 AD R47H) cohorts,Not reported,Not reported,1,"CRITICAL CAVEAT FOR DAM-DRUG: Rush/ROSMAP cohort — SAME DONORS as Mathys 2019. These are NOT independent validations — they are overlapping cohorts. HUMAN-MOUSE DAM DIVERGENCE IS THE MOST IMPORTANT FINDING: Annotation scheme using mouse DAM-2 markers is invalid for human data. Required plan amendment: replace mouse marker panel with human-validated markers. POSITIVE: IRF8 strongly upregulated in human AD microglia — validates DAM-DRUG top priority TF. Human reactive state is IRF8/MHC-II-driven (resembles peripheral nerve injury response) not lipid-clearance-driven (like mouse DAM-2)."
Gabitto_2024_NatNeurosci,Human,42 high ADNC + 21 intermediate,9 no AD + 12 low ADNC,"Middle temporal gyrus (MTG — primary); DLPFC / Brodmann area 9 (secondary — same 84 donors)","Braak 0-VI + Thal 0-5 + CERAD 0-3 + ADNC + Continuous Pseudoprogression Score (CPS; Bayesian latent model 0-1) — per-donor metadata publicly available",10x Chromium Next GEM 3' v3.1 + FANS sorting (70% neuronal / 30% non-neuronal),~tens of thousands microglia in MTG (3-5% of 30% non-neuronal compartment of 1.16M total); 150000 multiome nuclei (28 donors) — microglia included in multiome,"Micro-PVM_1; Micro-PVM_2 (homeostatic); Micro-PVM_2_1 (proliferating); Micro-PVM_2_3; Micro-PVM_3 (disease-associated/DAM-equivalent); Micro-PVM_4 (lipid-associated — NOVEL); Monocyte","Early CPS epoch: IL1B/CSF1R/STAB1/NINJ1/JAK3 (inflammatory); C1QA/C1QB/LY86/FCGR3A (plaque-induced) — human DAM-1 equivalent","Late CPS epoch: CTSD/CTSS/LYZ/APOE — human DAM-2 equivalent. Note: these are NOT the canonical mouse DAM-2 genes (CST7/CLEC7A/ITGAX absent)","Not directly — TREM2 variant carriers not stratified; APOE4 stratification performed","N/A — CPS-based trajectory used instead","CPS-ordered trajectory (Bayesian latent model anchored to quantitative IHC neuropathology) — NOT Monocle/PAGA. CPS publicly available per-donor.","Yes — harmonized 10 publicly available snRNA-seq datasets (707 donors total incl. Mathys 2019 / Zhou 2020 / Green 2023 / Mathys 2023). Micro-PVM_3 cross-validated against Green 2023 Mic.12/Mic.13.","Micro-PVM_3 significantly increases in abundance early in CPS (scCODA Bayesian compositional analysis); maintains significance across ADNC and cognitive status",Significant (Bayesian compositional — exact p not reported),1,"PRIMARY DATASET PAPER. DLPFC data (Brodmann area 9) EXISTS in same 84 donors — critical for ROSMAP bulk RNA-seq spatial alignment. CPS score available as continuous covariate (replaces Braak stage as primary disease axis). APOE4 status in metadata. All covariates for DESeq2 confirmed present. NOVEL STATE: Micro-PVM_4 (lipid-associated) — add as DAM-DRUG target substate. Multiome: 150k nuclei (28 donors) with microglia included — GRNs constructed; RUNX1/IKZF1/MAF identified as early CPS drivers (RUNX1 already on DAM-DRUG priority TF list). Data format: .h5ad. Code: github.com/AllenInstitute/SEA-AD_2024. FANS sorting bias: 70%/30% neuronal/non-neuronal ratio imposed artificially — non-neuronal cell proportions do not reflect true tissue composition."
Haney_2024_Nature,Human,"10 APOE4/4 AD + 8 APOE3/3 AD (18 AD total)",8 control (APOE3/3),"Frontal cortex (superior frontal gyrus + fusiform gyrus)","APOE genotype (APOE4/4 vs APOE3/3); tau tangle score; Aβ plaque score",10x Chromium Next GEM Single Cell 3' v3.1,Not reported separately (subset of full cortical snRNA-seq),"LDAM (Lipid Droplet-Associated Microglia): ACSL1+/NAMPT+/DPYD+/CD163+ — explicitly distinct from DAM and homeostatic; other microglial states not primary focus","APOE/TREM2 noted as general DAM markers; LDAM defined by ACSL1/lipid droplet signature (not DAM-1-specific)","LDAM: ACSL1+/NAMPT+/CD163+ — human-specific lipid-toxic state; TREM2 noted but not a driver of LDAM","Partial — TREM2 mentioned as general DAM marker; APOE required for Aβ-induced LDAM formation (APOE-KO abolishes effect)","APOE mediates Aβ-triggered ACSL1 induction; APOE-KO completely abolishes lipid droplet accumulation — APOE is mechanistically required, not just a marker",Seurat clustering; no pseudotime,Not performed — human-only snRNA-seq with iPSC validation,"Not benchmarked against Gabitto/Sun 2023 taxonomy; LDAM defined de novo",R=0.68 (tau tangle score),"P=0.0002 (tau); R=0.46 / P=0.0193 (Aβ plaque score)",1,"INDEPENDENT COHORT (Banner Sun Health Research Institute — not ROSMAP). CRITICAL NEW STATE: LDAM (Lipid Droplet-Associated Microglia) = ACSL1+/NAMPT+/DPYD+/CD163+ — a neurotoxic lipid-accumulating microglial state distinct from canonical DAM. Likely corresponds to or overlaps with Gabitto Micro-PVM_4 (lipid-associated) and Sun 2023 MG4 (lipid processing) but not formally mapped. APOE4-DEPENDENCE: LDAM most abundant in APOE4/4 AD; APOE required mechanistically for Aβ-triggered ACSL1/TG synthesis. This mandates APOE4 stratification in DAM-DRUG Phase 1 analysis (APOE4 status is in Gabitto metadata — confirmed feasible). NEUROTOXICITY MECHANISM: LDAM conditioned media → tau phosphorylation (AT8+) + caspase-3-mediated neuronal apoptosis in iPSC-derived neurons. Phagocytosis impaired. DRUGGABLE TARGETS: ACSL1 (Triacin C inhibitor); PIK3CA/PI3K (GNE-317) — both reverse LD accumulation in iPSC-microglia. These are metabolic enzyme targets (not TFs), adding a non-TF arm to DAM-DRUG target space. TF MOTIFS (HOMER/ATAC): PU.1/Sfpi1, REL (NF-κB), ETV6, FOSL2/JUND, RUNX2 enriched in LDAM ATAC peaks — corroborates RELB (Sun 2023) and RUNX2 (Sun 2023) findings. PPARG NOT found — gap: PPARγ is a master lipid metabolism TF validated in Sun 2023 but not identified in Haney ATAC; may reflect different stimulation conditions or detection threshold. PI3K inhibitor GNE-317: note this compound does not cross BBB well — CNS penetrance is a concern for therapeutic translation."
Ayata_2025_Nature,Human (+ mouse 5xFAD),3 AD (IHC); N unspecified for snRNA-seq/spatial,N unspecified,"Frontal cortex (human IHC + snRNA-seq + spatial transcriptomics)","AD vs. control; disease stage (late AD in mouse: ~3 months 5xFAD)","snRNA-seq + spatial transcriptomics + IHC (multi-modal)","Not reported separately",PU.1-low CD28+ (neuroprotective suppressive state); conventional inflammatory/IRM state; homeostatic,"PU.1-low subset = CD28+/PD-1+/CTLA-2A+ — lymphoid-like co-stimulatory marker profile; plaque-associated","PU.1-low CD28+ state is distinct from and suppresses conventional DAM/IRM inflammatory states","Y — TREM2/CLEC7A → SYK/PLCγ2 signaling drives PU.1 downregulation upon plaque contact","PU.1 downregulation is a CONSEQUENCE of plaque contact via TREM2/CLEC7A signaling — not a primary driver; represents a natural neuroprotective microglial response to amyloid",Clustering; no formal trajectory,5xFAD primary model; human validation by snRNA-seq + spatial + IHC,"Confirmed in human frontal cortex (N=3 IHC); PU.1-low CD28+ subset confirmed present",Not reported,Not reported,1,"CRITICAL CONFIRMATORY FINDING FOR SPI1/PU.1 INHIBITION STRATEGY: Lowering PU.1 expression in microglia (microglia-specific Cx3cr1-CreErt2 haploinsufficiency + siRNA) → (1) reduced amyloid plaque load; (2) reduced neuroinflammation; (3) improved memory; (4) extended lifespan in 5xFAD mice. This provides the first causal in vivo evidence that SPI1/PU.1 inhibition is therapeutic in AD. MECHANISM: PU.1-low microglia adopt a distinct neuroprotective CD28+/PD-1+ lymphoid-like state that SUPPRESSES conventional IRM/inflammatory microglial states — it is not simply less-active microglia, it is a different protective identity. CD28 KO in microglia → protective state lost → inflammatory IRM state promoted → accelerated plaque growth. THERAPEUTIC IMPLICATIONS: (1) SPI1 INHIBITION confirmed as correct strategy — add to plan as causally validated; (2) CD28 AGONISM added as parallel therapeutic angle — microglial CD28 agonist could promote neuroprotective state without requiring direct TF targeting; (3) PU.1-low state is a NEW microglial substate to annotate in Phase 1 — should be identifiable in SEA-AD + ROSMAP snRNA-seq data as a CD28+/PD-1+ plaque-associated cluster. IMPORTANT DISTINCTION: The PU.1-low state is NOT the same as DAM-1/DAM-2 — it is a third microglial identity that resists CSF1R inhibition. This adds complexity to the microglial landscape: homeostatic → DAM/IRM (inflammatory) AND homeostatic → PU.1-low CD28+ (protective). Therapeutic goal = promote the latter arm. HUMAN VALIDATION: confirmed by snRNA-seq + spatial transcriptomics + IHC in human frontal cortex (N=3 AD for IHC — small; further human evidence needed). PRIMARY LIMITATION: Mouse-primary study; human N is small (N=3 IHC). Human snRNA-seq N not reported in abstract — verify in Methods."
Sun_2023_Cell,Human,217 (138 early AD + 79 late AD),226,"6 regions: DLPFC / mid-temporal cortex / angular gyrus / entorhinal cortex / thalamus / hippocampus","AD vs. control + early/late AD grouping; Braak stage and amyloid load used for state correlation analyses",10x Chromium Single-Cell 3' v3,"194,291 total (152,459 snRNA-seq + 41,832 snATAC-seq; 10x Multiome on 4,244 nuclei from 19 individuals)","MG0 homeostatic (P2RY12/CX3CR1); MG1 neuronal surveillance (FRMD4A); MG2 inflammatory I (CPEB4/TMEM163/IL4R); MG3 ribosome biogenesis (FTL/FTH1); MG4 lipid processing (TREM2/APOE/ABCA1/CD163/PPARG); MG5 phagocytic (HSP90AA1); MG6 stress (NAMPT/SLC2A3); MG7 glycolytic (SPON1); MG8 inflammatory II (LRRK2/FOXP1 — AD-enriched); MG10 inflammatory III (IL1B/CCL3/RELB); MG11 antiviral/IFN (IFI44L1/MX1/EZH2); MG12 cycling (BRIP1)","APOE/TREM2/ABCA1/CD163 in MG4 — distributed DAM signature across states; MG3 shows strongest DAM score but driven by ribosomal genes. CRITICAL: DAM signatures are lowly enriched across ALL states — not a discrete DAM cluster","MG4 (APOE/TREM2/ABCA1) = closest DAM-2 equivalent — but no CST7/CLEC7A/ITGAX/GPNMB. Consistent with Zhou 2020 human findings.","Partial — TREM2 expression mapped to MG4; no KO performed","TREM2 expression localized to MG4 lipid-processing state; TREM2 R47H not directly tested","UMAP clustering; no formal pseudotime trajectory; state proportions correlated with neuropathology staging","Compared to Hammond 2019 mouse scRNA-seq for cross-species state mapping","Compared to Olah 2020 (aging microglia — consistent); MG11 antiviral state maps to IFN-responsive state of other datasets",Not reported as r value,"MG4 significantly positively correlated with Braak score / amyloid plaques / tangles / cognitive decline (strongest correlation of all states; p not specified in extraction)",1,"LARGEST HUMAN MICROGLIA DATASET (194K nuclei; 443 ROSMAP donors). COHORT NOTE: ROSMAP biobank — same cohort infrastructure as Mathys 2019 and Zhou 2020 — NOT independent. CRITICAL NEW FINDING 1 — DAM IS NOT A DISCRETE CLUSTER: DAM signatures (Keren-Shaul gene set) are distributed across all 12 microglial states at low levels — the clean DAM-1/DAM-2 bifurcation is an oversimplification of a more heterogeneous/continuous transcriptional landscape in human. CRITICAL NEW FINDING 2 — PPARG AS TIER 1 REPURPOSABLE TARGET: PPARG causally validated to preserve homeostatic phenotype in iPSC-microglia overexpression experiment — morphological rescue + calcium response restoration. PPARG = nuclear receptor (Finan Tier 1; approved agonists: pioglitazone/rosiglitazone) — IMMEDIATELY REPURPOSABLE. Pioglitazone has prior AD clinical trials (TOMMORROW trial). PLAN AMENDMENT TRIGGERED: add PPARG as priority repurposing target alongside TF screens. NEW TF RUNX2: distinct from RUNX1; causal homeostatic rescue validated in iMGLs. INFLAMMATORY BLOCKERS VALIDATED: FOXO3 / HIF1A / FOXP2 knockdown (CRISPRi) completely blocked IL1B induction in LPS-stimulated iMGLs. RELB: GWAS-linked NF-kB family TF driving MG10 inflammatory state. IRF8 NUANCE: IRF8 overexpression did NOT significantly rescue homeostasis in iPSC validation screen (25 TFs tested) — overexpression ≠ homeostatic rescue. This does not invalidate IRF8 INHIBITION as a strategy (different mechanism) but removes IRF8 from the validated homeostatic-rescue TF set. GRN METHOD: DoRothEA + ATAC co-accessibility + Homer motif enrichment — NOT pySCENIC. Does not directly benchmark pySCENIC but provides orthogonal GRN validation. SEX: MG3 proportion significantly differs by sex — additional sex-covariate rationale. MG4 correlation with Braak is the strongest state-pathology association."
Liu_2025_Cell,Human,54 (33 early AD + 21 late AD),57,"6 regions: entorhinal cortex / hippocampus / thalamus / angular gyrus / mid-temporal cortex / PFC","Braak stage + continuous global AD burden score + cognitive resilience (CR) score","10x Multiome (paired snRNA-seq + snATAC-seq); 799 total libraries","Not reported separately; subset of 2,263,395 snRNA-seq + 1,217,165 snATAC-seq total nuclei","4 immune subtypes — Homeostatic (Mic P2RY12); Activated (Mic TPT1 — CD9/B2M/APOE/C1QA); CNS-associated macrophages (CAMs); T cells. Broad 2-state microglial classification only.","Mic TPT1 encompasses early activation markers (CD9/B2M/APOE/C1QA) progressing toward DAM signatures","DAM signature enriched in Mic TPT1 terminally activated pole; lipid/inflammatory genes enriched; specific DAM-2 markers not broken out","N — TREM2 variants not stratified","N/A","NMF cCRE modules + ArchR pseudobulk trajectories; epigenomic erosion modeled across AD stages","N — human only","Not benchmarked against Gabitto/Sun 2023 taxonomy",Not reported,"Epigenomic erosion correlates with late AD staging; IRF8/MAF/RELA motifs enriched in late-stage eroded chromatin",1,"LARGEST MULTIOME DATASET IN AD (2.26M RNA + 1.22M ATAC nuclei; 111 ROSMAP donors; 6 brain regions). COHORT NOTE: ROSMAP biobank — same infrastructure as Mathys 2019 / Sun 2023 / Zhou 2020. Together these four ROSMAP papers create a severe non-independence issue: effectively one biobank provides 4 of 6 PICO1 evidence points. CRITICAL NEW CONCEPT — EPIGENOMIC EROSION: In late-stage AD, terminally activated microglia do not represent a stable programmed DAM state — they suffer catastrophic breakdown of nuclear chromatin compartmentalization. Repressive heterochromatin (Polycomb domains / Lamina-Associated Domains) aberrantly opens while active regulatory elements close. TFs enriched in eroded states: IRF8 / MAF / RELA (chromVAR motif analysis). THERAPEUTIC WINDOW IMPLICATION: Epigenomic erosion suggests late-stage DAM may be irreversibly dysfunctional rather than actively regulated. DAM-DRUG therapeutic window should therefore target EARLY stages (before erosion onset = before epigenomic collapse in late AD). This STRENGTHENS the plan rationale for early DAM-1/MG4-early targeting but adds a new framing: the goal is preventing erosion, not reversing it. SCENIC+ RE-EVALUATION: NOT triggered — Liu 2025 did not benchmark GRN accuracy (AUROC) for ATAC vs RNA-only; pySCENIC decision remains closed. ATAC motif data confirms IRF8/MAF/RELA as active in AD microglia (orthogonal validation of existing priority TFs) but does not add new TFs or change priority rankings."
Brase_2024_medRxiv,Human,67 discovery (Knight ADRC + DIAN) + 32 replication (ROSMAP),Not reported separately — mixed cohort,"Parietal lobe (discovery); DLPFC (replication/ROSMAP)",AD vs control; APOE/TREM2/APP/PSEN1 variant carriers included in discovery cohort,Not specified in extraction,12363 (resting: 7032; activated: 3662; inflammatory: 1669),"3 states: Resting; Activated; Inflammatory",Not primary focus — APOE regulatory GRN was primary output,Not primary focus,N,N/A,None — state-level classification,N,"Replicated in ROSMAP cohort (independent validation of TF assignments; >80% reproducibility threshold across 100 pySCENIC runs required)",Not reported,Not reported,3,"GRN VALIDATION STUDY — PICO3 RELEVANT. Uses pySCENIC v0.12.1 (RNA only — no ATAC; limitation acknowledged). APOE regulators in human microglia: CEBPA + CEBPB + CEBPD (all microglial states); IRF7 (resting + activated); JUND (resting); JUNB (activated/inflammatory). SPI1 and IKZF1 recovered as pan-state TFs but NOT as direct APOE regulators. IRF8 / RUNX1 / PPARG not identified as APOE regulators. No APOE4 vs APOE3 genotype stratification performed — acknowledged as a limitation. PLAN NOTE: CEBP family (CEBPA/CEBPB/CEBPD) are primary APOE regulators in human microglia across all states — not in current DAM-DRUG TF priority list. Consider adding CEBPB as secondary candidate given pan-state presence and APOE-regulatory role in APOE4-dependent LDAM biology. GRN confidence approach: 100 pySCENIC runs per state; >80% reproducibility threshold; ROSMAP replication — robust validation methodology applicable to DAM-DRUG Phase 2. Preprint status (medRxiv 2024) — treat as evidence_tier 3 until peer review."
Podlesny_2024_NatCommun,Human + Mouse,"Multiple human sc/snRNA-seq datasets (8 total — AD brains + healthy; atherosclerosis; adipose; liver)","Multiple (same 8 datasets + 10 mouse datasets)","Brain (multiple regions); atherosclerotic plaques; adipose tissue; liver (cross-tissue LAM validation)","AD vs control; lipid-rich tissue disease states",Multiple (8 human sc/snRNA-seq datasets integrated),Not specified in extraction,"LAM/DLAM (Lipid/Disease-Associated Macrophage) = BHLHE40/41-regulated; homeostatic state","Lipid clearance / efferocytosis / lysosomal processing genes — LAM-relevant (cholesterol efflux / lipid droplet / lysosomal degradation)","LAM defined by lipid-clearing signature; specific canonical DAM-2 markers (CST7/CLEC7A) not primary focus",N,N/A,N/A — state classification from integrated datasets,Y — 10 mouse datasets + iPSC-microglia + THP-1 in vitro + in vivo mouse KO,"Y — integrated 8 human + 10 mouse datasets; cross-tissue (brain/atherosclerosis/adipose/liver)",Not reported,Not reported,1,"NEW TF TARGETS — PLAN AMENDMENT REQUIRED. BHLHE40 and BHLHE41 are basic helix-loop-helix (bHLH) transcriptional REPRESSORS of the LAM/DLAM state in human and mouse microglia. AD GWAS enrichment confirmed: AD risk alleles enriched in BHLHE40/41 cistromes (stratified LD-score regression). THERAPEUTIC DIRECTION: BHLHE40/41 INHIBITION increases lipid-clearing capacity — KO of BHLHE40/41 → increased efferocytosis + cholesterol efflux + lysosomal degradation. This is COMPLEMENTARY to LDAM strategy (Haney 2024): inhibiting BHLHE40/41 would theoretically help microglia handle the toxic lipid burden seen in LDAM. GRN TOOL: ARACNE (not pySCENIC) + ATAC-seq motif enrichment — independent GRN method; orthogonal to pySCENIC validation. FUNCTIONAL VALIDATION: KO validated in iPSC-derived human microglia + THP-1 macrophages + in vivo mouse microglia — strong multi-model evidence. DRUGGABILITY: No approved BHLHE40/41 inhibitors (Finan Tier 3). BHLHE40/41 are bHLH TFs — dimerization-dependent DNA binding → PPI inhibitor strategy at bHLH dimerization interface is the most tractable approach. Published Nat Commun March 2024 (DOI: 10.1038/s41467-024-46315-7). PLAN ACTION: Add BHLHE40/BHLHE41 to secondary TF target list; cross-reference with pySCENIC regulon output in Phase 2; investigate bHLH interface as docking target in Phase 3."
