,"Homeostatic
(n=7,909)","DAM
(n=141,248)","DAM-IRM
(n=53,815)","LateAD-DAM
(n=1,458)","IRM
(n=29,805)","LAM
(n=1,767)"
SPI1,1.38349959764002,1.3405880817244773,1.5698157921380924,1.622820764852842,1.4786392259386865,1.190966668819864
RUNX1,3.933899564015331,4.428287777308244,4.907975885243674,5.033645866791862,3.9777386276649933,3.9048222252730582
IRF8,0.6070441768791974,1.4450955542286503,1.4479113787064923,1.2031153425988736,1.0665265124916543,1.0423434059030394
PPARG,1.2923825130144095,0.8747446679770439,1.007086161507784,1.10680575379264,1.8594335767761918,1.9487660682760477
CEBPB,1.267116467990586,1.5192677053370174,1.40363170725803,1.3259658721015826,1.3090068373021129,1.5335832032459287
IKZF1,2.283491613623879,3.1337286915530456,3.3287720804951877,3.503687013470871,2.968240773385944,1.846529513205896
RELB,0.23881360891161288,0.20906811907518133,0.3283235286661439,0.27387787699222377,0.25831486198256287,0.5483207140052966
BHLHE40,0.32119973118863165,0.203021252931986,0.2409484298182704,0.25805528594116045,0.26093440349812197,0.6148060518194081
BHLHE41,0.7160509536304087,2.8283277575988435,2.247247334180027,1.7211849813424018,1.965748870633557,2.376615668175471
TREM2,0.25441055934314266,0.7615365226440313,0.4882086526631512,0.43933452151485736,0.7851291263940087,0.622493800046296
APOE,2.01478599373393,2.790058395476413,1.7538368428056559,2.0779665494376327,2.7294057094830313,2.766131779086985
SPP1,1.19851088368857,3.5175879194537716,3.907762224615867,3.5902002066909904,3.4144631176044538,5.72785980663659
LGALS3,0.3659308502731661,0.05709115407937626,0.029436812024877426,0.028348436889886756,0.5744764730036277,0.39317236501535247
CD9,0.2328572857905799,0.15213954309851446,0.08486750749210922,0.054240249895856914,0.5471210462700447,1.1198916503228407
GPNMB,0.8786999211650774,0.37755702823066584,0.16090423829419903,0.19659138522302397,1.7044121941510284,2.0727004316874726
LPL,0.07528552767393086,0.13430810836857163,0.1313517686007622,0.3321342484869751,0.5216546485957378,0.5932252844964917
LIPA,1.3774609326052556,1.1454822695409075,1.0035598169184319,0.9243081139133872,1.6505689800116434,1.1934895475451621
P2RY12,0.6156616045891385,3.124271559126422,2.5477811215374175,2.672791013234964,2.0285155096517755,0.6570733243246224
CX3CR1,0.16598569433215668,2.0504234829138266,1.5659462687348251,1.4550603367858017,0.9493492298437708,0.23661387560621647
TMEM119,0.08412223484091633,0.5985749942307927,0.4667570952934276,0.4464427033743069,0.46615851925356916,0.14973906172513415
CSF1R,2.485392692366873,3.556211345137454,3.322813359936229,3.0387570237495036,2.86950619284745,1.6980047575195374
HEXB,0.8251463386933019,0.6883194106916355,0.5890494226131338,0.8072017072561946,0.8441466154754721,0.9158273918611295
IFIT1,0.1312717541721457,0.07985129907220596,0.05763786603953061,0.061704403321500144,0.11275467447387932,0.07353539432192564
IFIT2,0.1134466260046109,0.07936458217671276,0.03764149446961401,0.039967164961640024,0.11007882848338349,0.0545233163179699
IFIT3,0.16463500639266335,0.08858906762950049,0.06283319119967268,0.12189343616035271,0.16599296524938667,0.07442374484904926
ISG15,0.07148732394866028,0.0441510811929918,0.03068709793396561,0.047049045245657846,0.06813822428643389,0.09708658540813206
MX1,0.8038204722395451,0.5614413717736838,0.5927656213790385,0.6876485176823502,0.843664016806192,0.47705712923267707
IRF7,0.2612328723807881,0.17855282949033383,0.2063548260013808,0.22505592423535453,0.21850248088648633,0.26020526312293146
CD28,0.2506930560764153,0.0034704163690591375,0.004076732432050608,0.004736383993064115,0.019532013249194003,0.041505182629974255
MKI67,0.010544525307351208,0.0027295736327955723,0.00647298154032825,1.571204860049264,0.0018700036972872237,0.0
