names,log2FoldChange,padj,contrast
BHLHE40,-0.1340357879735961,0.9999846386389104,APOE4_vs_APOE3_LAM
PPARG,-0.6808782765485568,0.9999846386389104,APOE4_vs_APOE3_LAM
IKZF1,-0.8310086315187765,0.9999846386389104,APOE4_vs_APOE3_LAM
SPI1,-0.4335092246977569,0.9999846386389104,APOE4_vs_APOE3_LAM
BHLHE41,-0.1183668615542733,0.9999846386389104,APOE4_vs_APOE3_LAM
IRF8,-0.7662866632416422,0.9999846386389104,APOE4_vs_APOE3_LAM
RELB,-0.2859181504765236,0.9999846386389104,APOE4_vs_APOE3_LAM
CEBPB,0.2377192756466095,0.9999846386389104,APOE4_vs_APOE3_LAM
RUNX1,-0.0700983217486227,0.9999846386389104,APOE4_vs_APOE3_LAM
BHLHE40,0.3187089444241598,0.999937145098296,APOE4_vs_APOE3_allMicroglia
PPARG,0.1362302476135764,0.999937145098296,APOE4_vs_APOE3_allMicroglia
IKZF1,-0.1239500361581794,0.999937145098296,APOE4_vs_APOE3_allMicroglia
SPI1,-0.0519429599190596,0.999937145098296,APOE4_vs_APOE3_allMicroglia
BHLHE41,-0.0539609659737782,0.999937145098296,APOE4_vs_APOE3_allMicroglia
IRF8,-0.3463511166839944,0.999937145098296,APOE4_vs_APOE3_allMicroglia
RELB,0.3137969102655502,0.999937145098296,APOE4_vs_APOE3_allMicroglia
CEBPB,-0.1196462305438441,0.999937145098296,APOE4_vs_APOE3_allMicroglia
RUNX1,0.0563987689343642,0.999937145098296,APOE4_vs_APOE3_allMicroglia
BHLHE40,-0.2940051883005038,0.9999289925434052,DAM_BraakHigh_vs_Low
PPARG,0.3788193293926536,0.9999289925434052,DAM_BraakHigh_vs_Low
IKZF1,-0.3400243188460153,0.9999289925434052,DAM_BraakHigh_vs_Low
SPI1,-0.0175877709525347,0.9999289925434052,DAM_BraakHigh_vs_Low
BHLHE41,-0.1099907175996755,0.9999289925434052,DAM_BraakHigh_vs_Low
IRF8,-0.5643732579610578,0.8903477609188755,DAM_BraakHigh_vs_Low
RELB,-0.0770927100985225,0.9999289925434052,DAM_BraakHigh_vs_Low
CEBPB,-0.159013631082712,0.9999289925434052,DAM_BraakHigh_vs_Low
RUNX1,-0.0114406139563409,0.9999289925434052,DAM_BraakHigh_vs_Low
BHLHE40,-0.5720094044866487,2.6025754368001875e-06,DAM_vs_Homeostatic
PPARG,-0.8177307284052132,8.113860707626454e-24,DAM_vs_Homeostatic
IKZF1,0.7460372976441035,6.944896577486486e-51,DAM_vs_Homeostatic
SPI1,-0.0046789067117582,0.9325910113833183,DAM_vs_Homeostatic
BHLHE41,2.553096140966707,6.853389298025261e-195,DAM_vs_Homeostatic
IRF8,1.6981400598871854,8.500283532417786e-94,DAM_vs_Homeostatic
RELB,-0.0054398947246981,0.9707393797174894,DAM_vs_Homeostatic
CEBPB,0.4299466438387032,0.0002161106233045,DAM_vs_Homeostatic
RUNX1,0.4270052976630652,1.846955729531772e-11,DAM_vs_Homeostatic
BHLHE40,-0.3371795834435009,0.0119362147447789,IRM_vs_Homeostatic
PPARG,0.5283622905397789,1.1450197881321449e-10,IRM_vs_Homeostatic
IKZF1,0.6062701199088487,1.966563363629746e-32,IRM_vs_Homeostatic
SPI1,0.1151427824945018,0.0410572378533673,IRM_vs_Homeostatic
BHLHE41,1.88634444896798,4.915057960935827e-94,IRM_vs_Homeostatic
IRF8,1.1263940966037909,5.5426272598960324e-36,IRM_vs_Homeostatic
RELB,0.2576200019710473,0.0594928209545909,IRM_vs_Homeostatic
CEBPB,0.0611445723247078,0.6481916942546002,IRM_vs_Homeostatic
RUNX1,0.0472435781919913,0.5570061465856264,IRM_vs_Homeostatic
BHLHE40,1.5285401721199177,1.55895647210521e-12,LAM_vs_Homeostatic
PPARG,1.1547702784670189,2.261040566231171e-13,LAM_vs_Homeostatic
IKZF1,0.1148134387721437,0.415713525363854,LAM_vs_Homeostatic
SPI1,-0.0546020123199364,0.7116218120082276,LAM_vs_Homeostatic
BHLHE41,2.438961229195138,4.056177788739311e-56,LAM_vs_Homeostatic
IRF8,1.6037883455989912,5.5129225485726e-28,LAM_vs_Homeostatic
RELB,1.3996167085040785,1.9700819824024963e-10,LAM_vs_Homeostatic
CEBPB,0.7875178104735588,2.664454808698374e-05,LAM_vs_Homeostatic
RUNX1,0.2153108487240269,0.1084428913727391,LAM_vs_Homeostatic
