regulon,TF,rho,pval,padj,n_cells,direction,peak_state
IKZF1(+),IKZF1,0.30891730249380306,0.0,0.0,100000,disease_up,LateAD-DAM
NFATC2(+),NFATC2,0.2398682096528847,0.0,0.0,100000,disease_up,LateAD-DAM
ETV6(+),ETV6,0.20295642533822608,0.0,0.0,100000,disease_up,LateAD-DAM
ZNF148(+),ZNF148,0.17666861568679976,0.0,0.0,100000,disease_up,LateAD-DAM
ZBTB20(+),ZBTB20,0.13505170196924365,0.0,0.0,100000,disease_up,LateAD-DAM
ELF1(+),ELF1,0.1315504226694679,0.0,0.0,100000,disease_up,Homeostatic
FLI1(+),FLI1,0.10994752233699019,1.8563682662403328e-266,5.692862683137021e-266,100000,disease_up,LateAD-DAM
POU2F2(+),POU2F2,0.06551640730218408,1.5051102485563196e-95,3.14704870152685e-95,100000,disease_up,DAM-IRM
NFAT5(+),NFAT5,0.05458894891352465,7.231398096930336e-67,1.2320159720696126e-66,100000,disease_up,LAM
ELF2(+),ELF2,0.05231242584381915,1.5038582172607774e-61,2.470624214071277e-61,100000,disease_up,LAM
NFKB1(+),NFKB1,0.03710024053234642,8.331619002012153e-32,1.161377194219876e-31,100000,disease_up,LAM
MYBL1(+),MYBL1,0.01161191281402711,0.0002405776200355653,0.0002837582185034873,100000,disease_up,LateAD-DAM
BACH1(+),BACH1,0.005252042808088534,0.09674710060301851,0.10349689831950817,100000,disease_up,DAM-IRM
HIF1A(+),HIF1A,0.0033898837386299634,0.2837357342626309,0.29663281309275047,100000,disease_up,LAM
E2F1(+),E2F1,0.00044231302399469046,0.8887627696492079,0.8887627696492079,100000,disease_up,LateAD-DAM
OTX1(+),OTX1,-0.001082844332283826,0.7320338881558923,0.7483013078926899,100000,homeostatic_up,LAM
CUX1(+),CUX1,-0.009286467602275812,0.0033176173052481073,0.0036335808581288796,100000,homeostatic_up,LAM
HOXB2(+),HOXB2,-0.009982980312444482,0.0015943701442064572,0.0017888055276462692,100000,homeostatic_up,IRM
HNF1A(+),HNF1A,-0.011503441622035565,0.0002749954679656522,0.00031624478816050006,100000,homeostatic_up,Homeostatic
E2F7(+),E2F7,-0.012521282751417746,7.504932090224653e-05,9.084917793429842e-05,100000,homeostatic_up,LateAD-DAM
FOSL2(+),FOSL2,-0.021436767999525277,1.2051282458549086e-11,1.4982675489006973e-11,100000,homeostatic_up,LAM
FOXF1(+),FOXF1,-0.02441281604667731,1.1536225183429152e-14,1.4740732178826137e-14,100000,homeostatic_up,LAM
TFAP2A(+),TFAP2A,-0.02502772406081063,2.460593301114747e-15,3.233922624322239e-15,100000,homeostatic_up,Homeostatic
E2F8(+),E2F8,-0.026770312257739456,2.519508159162672e-17,3.4087463329847915e-17,100000,homeostatic_up,LateAD-DAM
E2F2(+),E2F2,-0.04483058621092643,1.157039427384643e-45,1.6632441768654243e-45,100000,homeostatic_up,LateAD-DAM
STAT3(+),STAT3,-0.0461747176203706,2.448884351794719e-48,3.6338283929857117e-48,100000,homeostatic_up,LAM
SOX18(+),SOX18,-0.048747982198923324,1.121187888315961e-53,1.7191547620844734e-53,100000,homeostatic_up,LAM
HOXA1(+),HOXA1,-0.050989346091999344,1.4588924367596347e-58,2.3141052445152826e-58,100000,homeostatic_up,DAM-IRM
MYBL2(+),MYBL2,-0.0577178203521735,1.5161935593796425e-74,2.682496297363983e-74,100000,homeostatic_up,LateAD-DAM
FOXC1(+),FOXC1,-0.05798101145653244,3.2760493067019765e-75,6.027930724331637e-75,100000,homeostatic_up,Homeostatic
NFIC(+),NFIC,-0.05898885571567546,8.695236654622169e-78,1.666587025469249e-77,100000,homeostatic_up,DAM-IRM
THRA(+),THRA,-0.06056557190156286,6.606781637505218e-82,1.3213563275010436e-81,100000,homeostatic_up,Homeostatic
GATA2(+),GATA2,-0.07329796483873853,3.626797699804865e-119,7.944414009096371e-119,100000,homeostatic_up,LAM
TCF4(+),TCF4,-0.07427369038101304,2.5707300594870356e-122,5.912679136820182e-122,100000,homeostatic_up,Homeostatic
MYCN(+),MYCN,-0.07703606716337348,1.8448745468211368e-131,4.4665383765143314e-131,100000,homeostatic_up,DAM-IRM
LHX6(+),LHX6,-0.0800458302923576,8.30929347825389e-142,2.1234861111093273e-141,100000,homeostatic_up,LAM
PAX6(+),PAX6,-0.08986676845362082,2.3467145714685226e-178,6.349933546326591e-178,100000,homeostatic_up,DAM-IRM
VAX1(+),VAX1,-0.09422192041555548,6.194822306897808e-196,1.78101141323312e-195,100000,homeostatic_up,Homeostatic
JUND(+),JUND,-0.14663188982096,0.0,0.0,100000,homeostatic_up,LAM
ARX(+),ARX,-0.17061521429887058,0.0,0.0,100000,homeostatic_up,DAM-IRM
POU3F3(+),POU3F3,-0.17836187096934042,0.0,0.0,100000,homeostatic_up,Homeostatic
MITF(+),MITF,-0.21419652404111955,0.0,0.0,100000,homeostatic_up,Homeostatic
RFX4(+),RFX4,-0.21984935617768117,0.0,0.0,100000,homeostatic_up,DAM-IRM
PBX1(+),PBX1,-0.37365143277032975,0.0,0.0,100000,homeostatic_up,DAM-IRM
NFIB(+),NFIB,-0.3821388126802416,0.0,0.0,100000,homeostatic_up,DAM-IRM
THRB(+),THRB,-0.46990406939081486,0.0,0.0,100000,homeostatic_up,Homeostatic
