chembl_id,vina_score,cnn_score,cnn_affinity
CHEMBL898,-5.725,0.8112,4.161
CHEMBL396778,-5.549,0.7848,4.778
CHEMBL1522,-5.437,0.7792,4.903
CHEMBL661,-5.427,0.7779,4.859
CHEMBL135400,-5.428,0.7758,4.901
CHEMBL16,-5.658,0.7614,4.314
CHEMBL1256841,-5.429,0.7516,4.144
CHEMBL1089318,-5.791,0.7435,5.391
CHEMBL53,-5.828,0.7356,4.161
CHEMBL1201347,-5.6,0.6953,4.636
CHEMBL4297526,-5.721,0.6844,5.233
CHEMBL285674,-5.396,0.6836,4.672
CHEMBL19019,-5.424,0.6831,4.454
CHEMBL911,-5.822,0.6725,5.06
CHEMBL490,-5.487,0.672,4.707
CHEMBL254857,-5.669,0.6351,4.45
CHEMBL1214124,-5.579,0.6328,5.018
CHEMBL3545367,-5.53,0.6211,5.73
CHEMBL4297590,-5.448,0.5908,5.791
CHEMBL1065,-5.764,0.5857,4.933
CHEMBL1508,-5.535,0.5768,4.654
CHEMBL2111101,-5.64,0.545,5.149
CHEMBL12713,-5.825,0.5234,5.756
CHEMBL422,-5.433,0.5027,5.084
CHEMBL439849,-6.477,0.4657,5.729
CHEMBL14376,-5.76,0.4518,5.651
CHEMBL1112,-5.489,0.3837,4.834
CHEMBL2105760,-5.496,0.3585,5.531
CHEMBL1237021,-6.011,0.3453,5.465
